Bain CM360 Report

Date/Time Generated,3/3/26 9:45 PM
Report Time Zone,Europe/London
Account ID,2558272
Date Range,1/1/25 - 2/28/26
MRC Accredited Metrics,"Clicks(Desktop Display, Desktop Rich Media, Desktop Video, In-App Display, In-App Rich Media, In-App Video, Mobile Display, Mobile Rich Media, Mobile Video)",Active View metrics are accredited only when Measurement Source = Measured
"Reporting numbers are finalized after seven days, unless communicated otherwise."

Report Fields
Month,Campaign,Site (CM360),Placement,Placement ID,Impressions,Clicks
2025-01,Bain Global Central Brand Campaign 2025,WSJ,WSJ_NAM_Subscribers_Display_300x250,413954596,3,1
2025-01,Bain Global Central Brand Campaign 2025,WSJ,WSJ_NAM_Subscribers_Display_300x600,413954590,2,1
2025-01,Bain Global Central Brand Campaign 2025,WSJ,WSJ_NAM_Subscribers_Display_970x250,413954584,3,3
2025-02,Bain Global Central Brand Campaign 2025,FT,FT_APAC_Audience+Contextual_Display_300x250,413957359,16879,37
2025-02,Bain Global Central Brand Campaign 2025,FT,FT_APAC_Audience+Contextual_Display_300x600,413957356,3141,11
2025-02,Bain Global Central Brand Campaign 2025,FT,FT_APAC_Contextual_Display_300x250,413957350,20953,32
2025-02,Bain Global Central Brand Campaign 2025,FT,FT_APAC_Contextual_Display_300x600,413954647,2966,9
2025-02,Bain Global Central Brand Campaign 2025,FT,FT_APAC_Contextual_Display_970x250,413954644,2481,3
2025-02,Bain Global Central Brand Campaign 2025,FT,FT_APAC_CustomABM+Contextual_Display_970x250,413957353,2702,2
2025-02,Bain Global Central Brand Campaign 2025,FT,FT_APAC_Subcribers_Display_300x250,413954641,21621,31
2025-02,Bain Global Central Brand Campaign 2025,FT,FT_APAC_Subcribers_Display_300x600,413954638,2472,9
2025-02,Bain Global Central Brand Campaign 2025,FT,FT_APAC_Subscribers_Display_970x250,413954635,7759,34
2025-02,Bain Global Central Brand Campaign 2025,FT,FT_EMEATier1_Audience+Contextual_Display_300x250,413957386,38786,78
2025-02,Bain Global Central Brand Campaign 2025,FT,FT_EMEATier1_Audience+Contextual_Display_300x600,413957383,3398,9
2025-02,Bain Global Central Brand Campaign 2025,FT,FT_EMEATier1_Contextual_Display_300x250,413957377,46784,88
2025-02,Bain Global Central Brand Campaign 2025,FT,FT_EMEATier1_Contextual_Display_300x600,413957374,3497,2
2025-02,Bain Global Central Brand Campaign 2025,FT,FT_EMEATier1_Contextual_Display_970x250,413957371,2443,3
2025-02,Bain Global Central Brand Campaign 2025,FT,FT_EMEATier1_CustomABM+Contextual_Display_970x250,413957380,2853,7
2025-02,Bain Global Central Brand Campaign 2025,FT,FT_EMEATier1_Subcribers_Display_300x250,413957368,53901,91
2025-02,Bain Global Central Brand Campaign 2025,FT,FT_EMEATier1_Subcribers_Display_300x600,413957365,2840,10
2025-02,Bain Global Central Brand Campaign 2025,FT,FT_EMEATier1_Subscribers_Display_970x250,413957362,6509,48
2025-02,Bain Global Central Brand Campaign 2025,FT,FT_EMEATier2_Contextual_Display_300x250,416006534,1,0
2025-02,Bain Global Central Brand Campaign 2025,FT,FT_EMEATier2_Subcribers_Display_300x250,416327493,1,0
2025-02,Bain Global Central Brand Campaign 2025,FT,FT_LATAM_Audience+Contextual_Display_300x250,413954629,4075,12
2025-02,Bain Global Central Brand Campaign 2025,FT,FT_LATAM_Audience+Contextual_Display_300x600,413954623,805,2
2025-02,Bain Global Central Brand Campaign 2025,FT,FT_LATAM_Contextual_Display_300x250,413954611,5299,13
2025-02,Bain Global Central Brand Campaign 2025,FT,FT_LATAM_Contextual_Display_300x600,413954605,629,0
2025-02,Bain Global Central Brand Campaign 2025,FT,FT_LATAM_Contextual_Display_970x250,413954599,676,1
2025-02,Bain Global Central Brand Campaign 2025,FT,FT_LATAM_CustomABM+Contextual_Display_970x250,413954617,807,0
2025-02,Bain Global Central Brand Campaign 2025,FT,FT_LATAM_Subcribers_Display_300x250,413954593,5740,12
2025-02,Bain Global Central Brand Campaign 2025,FT,FT_LATAM_Subcribers_Display_300x600,413954587,573,2
2025-02,Bain Global Central Brand Campaign 2025,FT,FT_LATAM_Subscribers_Display_970x250,413954581,1629,7
2025-02,Bain Global Central Brand Campaign 2025,FT,FT_NAM_Audience+Contextual_Display_300x250,413948833,30951,61
2025-02,Bain Global Central Brand Campaign 2025,FT,FT_NAM_Audience+Contextual_Display_300x600,413957410,4436,6
2025-02,Bain Global Central Brand Campaign 2025,FT,FT_NAM_Contextual_Display_300x250,413957404,38398,59
2025-02,Bain Global Central Brand Campaign 2025,FT,FT_NAM_Contextual_Display_300x600,413957401,4208,1
2025-02,Bain Global Central Brand Campaign 2025,FT,FT_NAM_Contextual_Display_970x250,413957398,3367,1
2025-02,Bain Global Central Brand Campaign 2025,FT,FT_NAM_CustomABM+Contextual_Display_970x250,413957407,3965,9
2025-02,Bain Global Central Brand Campaign 2025,FT,FT_NAM_Subcribers_Display_300x250,413957395,39368,54
2025-02,Bain Global Central Brand Campaign 2025,FT,FT_NAM_Subcribers_Display_300x600,413957392,3738,18
2025-02,Bain Global Central Brand Campaign 2025,FT,FT_NAM_Subscribers_Display_970x250,413957389,12202,40
2025-02,Bain Global Central Brand Campaign 2025,The Economist,Economist_APAC_Audience+Contextual_Display_300x600,413951422,11692,4
2025-02,Bain Global Central Brand Campaign 2025,The Economist,Economist_APAC_Audience+Contextual_Display_Interscroller,414120185,9540,47
2025-02,Bain Global Central Brand Campaign 2025,The Economist,Economist_APAC_Audience_Display_Interscroller,414120188,3903,8
2025-02,Bain Global Central Brand Campaign 2025,The Economist,Economist_APAC_Subscribers_Display_300x250,413951419,111752,348
2025-02,Bain Global Central Brand Campaign 2025,The Economist,Economist_APAC_Subscribers_Display_300x600,413951416,33277,5
2025-02,Bain Global Central Brand Campaign 2025,The Economist,Economist_APAC_Subscribers_Display_Interscroller,414120182,30938,221
2025-02,Bain Global Central Brand Campaign 2025,The Economist,Economist_CA_Audience+Contextual_Display_300x600,413951368,3196,0
2025-02,Bain Global Central Brand Campaign 2025,The Economist,Economist_CA_Audience+Contextual_Display_Interscroller,413957965,5181,28
2025-02,Bain Global Central Brand Campaign 2025,The Economist,Economist_CA_Audience_Display_300x600,413951374,6328,0
2025-02,Bain Global Central Brand Campaign 2025,The Economist,Economist_CA_Audience_Display_Interscroller,413957977,3472,21
2025-02,Bain Global Central Brand Campaign 2025,The Economist,Economist_CA_Subscribers_Display_300x250,413951365,36460,116
2025-02,Bain Global Central Brand Campaign 2025,The Economist,Economist_CA_Subscribers_Display_300x600,413951362,19806,7
2025-02,Bain Global Central Brand Campaign 2025,The Economist,Economist_CA_Subscribers_Display_Interscroller,413957953,19448,152
2025-02,Bain Global Central Brand Campaign 2025,The Economist,Economist_EMEATier1_Audience_Display_300x600,413951356,2745,0
2025-02,Bain Global Central Brand Campaign 2025,The Economist,Economist_EMEATier1_Subscribers_Display_300x250,414103415,235644,745
2025-02,Bain Global Central Brand Campaign 2025,The Economist,Economist_EMEATier1_Subscribers_Display_Interscroller,414120200,10191,31
2025-02,Bain Global Central Brand Campaign 2025,The Economist,Economist_EMEATier2_Audience+Contextual_Display_Interscroller,414120194,2243,4
2025-02,Bain Global Central Brand Campaign 2025,The Economist,Economist_EMEATier2_Subscribers_Display_300x250,413951431,98035,325
2025-02,Bain Global Central Brand Campaign 2025,The Economist,Economist_EMEATier2_Subscribers_Display_300x600,413951446,3299,2
2025-02,Bain Global Central Brand Campaign 2025,The Economist,Economist_EMEATier2_Subscribers_Display_Interscroller,414120191,4500,11
2025-02,Bain Global Central Brand Campaign 2025,The Economist,Economist_LATAM_Audience+Contextual_Display_300x600,413951404,4237,2
2025-02,Bain Global Central Brand Campaign 2025,The Economist,Economist_LATAM_Audience+Contextual_Display_Interscroller,414120176,2927,18
2025-02,Bain Global Central Brand Campaign 2025,The Economist,Economist_LATAM_Audience_Display_300x600,413951410,3084,0
2025-02,Bain Global Central Brand Campaign 2025,The Economist,Economist_LATAM_Audience_Display_Interscroller,414120179,1072,7
2025-02,Bain Global Central Brand Campaign 2025,The Economist,Economist_LATAM_Subscribers_Display_300x250,413951401,24648,116
2025-02,Bain Global Central Brand Campaign 2025,The Economist,Economist_LATAM_Subscribers_Display_300x600,413951398,8327,2
2025-02,Bain Global Central Brand Campaign 2025,The Economist,Economist_LATAM_Subscribers_Display_Interscroller,413957986,7943,75
2025-02,Bain Global Central Brand Campaign 2025,The Economist,Economist_US_Audience+Contextual_Display_300x600,413951386,21474,7
2025-02,Bain Global Central Brand Campaign 2025,The Economist,Economist_US_Audience+Contextual_Display_Interscroller,413957989,15229,89
2025-02,Bain Global Central Brand Campaign 2025,The Economist,Economist_US_Audience_Display_300x600,413951392,55295,13
2025-02,Bain Global Central Brand Campaign 2025,The Economist,Economist_US_Audience_Display_Interscroller,413956219,40207,183
2025-02,Bain Global Central Brand Campaign 2025,The Economist,Economist_US_Audience_Display_ResponsiveBillboard,415605085,5,2
2025-02,Bain Global Central Brand Campaign 2025,The Economist,Economist_US_Subscribers_Display_300x250,413951383,56846,169
2025-02,Bain Global Central Brand Campaign 2025,The Economist,Economist_US_Subscribers_Display_300x600,413951380,56789,9
2025-02,Bain Global Central Brand Campaign 2025,The Economist,Economist_US_Subscribers_Display_Interscroller,413957983,61883,305
2025-02,Bain Global Central Brand Campaign 2025,WSJ,WSJ_Global_CustomABM_Display_300x250,413954614,1294,1
2025-02,Bain Global Central Brand Campaign 2025,WSJ,WSJ_Global_CustomABM_Display_300x600,413954608,768,1
2025-02,Bain Global Central Brand Campaign 2025,WSJ,WSJ_Global_CustomABM_Display_970x250,413954602,770,2
2025-02,Bain Global Central Brand Campaign 2025,WSJ,WSJ_Global_CustomABM_Display_Folio,413957968,702,3
2025-02,Bain Global Central Brand Campaign 2025,WSJ,WSJ_Global_Subcribers_Display_Folio,414120215,12055,35
2025-02,Bain Global Central Brand Campaign 2025,WSJ,WSJ_Global_Subscribers_Display_300x250,413954578,18081,31
2025-02,Bain Global Central Brand Campaign 2025,WSJ,WSJ_Global_Subscribers_Display_300x600,413954575,2061,4
2025-02,Bain Global Central Brand Campaign 2025,WSJ,WSJ_Global_Subscribers_Display_970x250,413954569,2158,4
2025-02,Bain Global Central Brand Campaign 2025,WSJ,WSJ_Global_USNewsBuyoutMarch_Display_Macro_TariffUncertainty_300x250,416165181,1,0
2025-02,Bain Global Central Brand Campaign 2025,WSJ,WSJ_NAM_CustomABM+Contextual_Display_300x250,413954632,56373,18
2025-02,Bain Global Central Brand Campaign 2025,WSJ,WSJ_NAM_CustomABM+Contextual_Display_300x600,413954626,39353,17
2025-02,Bain Global Central Brand Campaign 2025,WSJ,WSJ_NAM_CustomABM+Contexual_Display_970x250,413954620,34631,15
